Player,Pos,Team,Age,Yrs,Dollars,Guaranteed,% GTD,Avg. Salary,Free Agent
RandleJulius Randle (2019-2021) ,PF,NYK,24,3,"$62,100,000","$56,700,000",91.30%,"$20,700,000",2022
TeagueJeff Teague (2017-2019) ,PG,MIN,31,3,"$57,000,000","$57,000,000",100.00%,"$19,000,000",2020
RozierTerry Rozier (2019-2021) ,PG,CHA,25,3,"$56,700,000","$56,700,000",100.00%,"$18,900,000",2022
ZellerCody Zeller (2017-2020) ,C,CHA,27,4,"$56,000,000","$56,000,000",100.00%,"$14,000,000",2021
WilliamsMarvin Williams (2016-2019) ,PF,CHA,33,4,"$54,512,500","$54,512,500",100.00%,"$13,628,125",2020
RossTerrence Ross (2019-2022) ,SG,ORL,28,4,"$54,000,000","$50,000,000",92.59%,"$13,500,000",2023
BartonWill Barton (2018-2021) ,SG,DEN,28,4,"$53,000,000","$53,000,000",100.00%,"$13,250,000",2022
GordonEric Gordon (2016-2019) ,SG,HOU,30,4,"$52,886,489","$52,886,489",100.00%,"$13,221,622",0
LeVertCaris LeVert (2020-2022) ,SG,BKN,25,3,"$52,500,000","$52,500,000",100.00%,"$17,500,000",2023
Kidd-GilchristMichael Kidd-Gilchrist (2016-2019) ,SF,CHA,26,4,"$52,000,000","$52,000,000",100.00%,"$13,000,000",2020
WaitersDion Waiters (2017-2020) ,SG,MIA,27,4,"$52,000,000","$47,300,000",90.96%,"$13,000,000",2021
InglesJoe Ingles (2017-2020) ,SF,UTH,32,4,"$52,000,000","$50,000,000",96.15%,"$13,000,000",0
LopezBrook Lopez (2019-2022) ,C,MIL,31,4,"$52,000,000","$52,000,000",100.00%,"$13,000,000",2023
SmartMarcus Smart (2018-2021) ,PG,BOS,25,4,"$51,999,900","$50,000,000",96.15%,"$12,999,975",2022
RubioRicky Rubio (2019-2021) ,PG,PHX,29,3,"$51,000,000","$51,000,000",100.00%,"$17,000,000",2022
AldridgeLaMarcus Aldridge (2019-2020) ,PF,SAS,34,2,"$50,000,000","$50,000,000",100.00%,"$25,000,000",2021
OlynykKelly Olynyk (2017-2020) ,C,MIA,28,4,"$50,000,000","$45,610,826",91.22%,"$12,500,000",2021
ClarksonJordan Clarkson (2016-2019) ,PG,CLESigned w/LAL,27,4,"$50,000,000","$50,000,000",100.00%,"$12,500,000",2020
JohnsonTyler Johnson (2016-2019) ,SG,PHXSigned w/MIA,26,4,"$50,000,000","$50,000,000",100.00%,"$12,500,000",2020
LeeCourtney Lee (2016-2019) ,SG,DALSigned w/NYK,34,4,"$48,003,340","$48,003,340",100.00%,"$12,000,835",2020
MillsPatrick Mills (2017-2020) ,PG,SAS,31,4,"$48,000,000","$48,000,000",100.00%,"$12,000,000",2021
IguodalaAndre Iguodala (2017-2019) ,SF,MEMSigned w/GSW,35,3,"$48,000,000","$48,000,000",100.00%,"$16,000,000",2020
HensonJohn Henson (2016-2019) ,PF,CLESigned w/MIL,28,4,"$48,000,000","$44,000,000",91.67%,"$12,000,000",2020
HillSolomon Hill (2016-2019) ,SF,MEMSigned w/NOP,28,4,"$48,000,000","$48,000,000",100.00%,"$12,000,000",2020
NurkicJusuf Nurkic (2018-2021) ,C,POR,25,4,"$48,000,000","$40,000,000",83.33%,"$12,000,000",2022
WarrenT.J. Warren (2018-2021) ,SF,INDSigned w/PHX,26,4,"$47,000,000","$47,000,000",100.00%,"$11,750,000",2022
CovingtonRobert Covington (2018-2021) ,SF,MINSigned w/PHI,28,4,"$46,879,127","$46,879,127",100.00%,"$11,719,782",2022
SnellTony Snell (2017-2020) ,SG,DETSigned w/MIL,27,4,"$46,000,000","$44,000,000",95.65%,"$11,500,000",2021
ValanciunasJonas Valanciunas (2019-2021) ,C,MEM,27,3,"$45,000,000","$45,000,000",100.00%,"$15,000,000",2022
Nance Jr.Larry Nance Jr. (2019-2022) ,PF,CLE,26,4,"$44,800,000","$44,800,000",100.00%,"$11,200,000",2023
YoungThaddeus Young (2019-2021) ,PF,CHI,31,3,"$43,635,000","$32,445,000",74.36%,"$14,545,000",2022
JohnsonJames Johnson (2017-2019) ,PF,MIA,32,3,"$43,295,100","$43,295,100",100.00%,"$14,431,700",2021
HarklessMaurice Harkless (2016-2019) ,SF,LACSigned w/POR,26,4,"$42,000,000","$40,000,000",95.24%,"$10,500,000",2020
RichardsonJosh Richardson (2018-2021) ,SF,PHISigned w/MIA,26,4,"$41,965,056","$41,965,056",100.00%,"$10,491,264",2022
PowellNorman Powell (2018-2021) ,SG,TOR,26,4,"$41,965,056","$41,965,056",100.00%,"$10,491,264",2022
LeonardMeyers Leonard (2016-2019) ,C,MIASigned w/POR,27,4,"$41,000,000","$41,000,000",100.00%,"$10,250,000",2020
PlumleeMason Plumlee (2017-2019) ,C,DEN,29,3,"$41,000,000","$41,000,000",100.00%,"$13,666,667",2020
DedmonDewayne Dedmon (2019-2021) ,C,SAC,30,3,"$40,000,000","$26,666,667",66.67%,"$13,333,333",2022
BeverleyPatrick Beverley (2019-2021) ,PG,LAC,31,3,"$39,999,980","$39,999,980",100.00%,"$13,333,327",2022
JordanDeAndre Jordan (2019-2022) ,C,BKN,31,4,"$39,960,716","$39,960,716",100.00%,"$9,990,179",2023
DellavedovaMatthew Dellavedova (2016-2019) ,PG,CLESigned w/MIL,29,4,"$38,430,000","$38,430,000",100.00%,"$9,607,500",2020
FavorsDerrick Favors (2018-2019) ,PF,NOPSigned w/UTH,28,2,"$37,600,000","$16,000,000",42.55%,"$18,800,000",2020
FultzMarkelle Fultz (2017-2020) ,PG,ORLSigned w/PHI,21,4,"$37,400,017","$37,400,017",100.00%,"$9,350,004",2021
PowellDwight Powell (2016-2019) ,PF,DAL,28,4,"$37,268,750","$37,268,750",100.00%,"$9,317,188",0
JosephCory Joseph (2019-2021) ,PG,SAC,28,3,"$37,200,000","$30,000,000",80.65%,"$12,400,000",2022
AndersonKyle Anderson (2018-2021) ,SF,MEM,26,4,"$37,156,300","$37,156,300",100.00%,"$9,289,075",2022
KleberMaxi Kleber (2019-2022) ,PF,DAL,27,4,"$35,900,000","$25,000,000",69.64%,"$8,975,000",2023
CrowderJae Crowder (2015-2019) ,SF,MEMSigned w/BOS,29,5,"$35,000,000","$35,000,000",100.00%,"$7,000,000",2020
DinwiddieSpencer Dinwiddie (2019-2021) ,PG,BKN,26,3,"$34,362,144","$34,362,144",100.00%,"$11,454,048",2022
MooreE'Twaun Moore (2016-2019) ,SG,NOP,30,4,"$34,000,000","$34,000,000",100.00%,"$8,500,000",2020
BallLonzo Ball (2017-2020) ,PG,NOPSigned w/LAL,22,4,"$33,471,622","$33,471,622",100.00%,"$8,367,906",2021
PowellDwight Powell (2020-2022) ,PF,DAL,28,3,"$33,240,375","$33,240,375",100.00%,"$11,080,125",2023
ExumDante Exum (2018-2020) ,PG,UTH,24,3,"$33,000,000","$27,300,000",82.73%,"$11,000,000",2021
GayRudy Gay (2019-2020) ,SF,SAS,33,2,"$32,000,000","$28,000,000",87.50%,"$16,000,000",2021
CurrySeth Curry (2019-2022) ,SG,DAL,29,4,"$32,000,000","$32,000,000",100.00%,"$8,000,000",2023
FelicioCristiano Felicio (2017-2020) ,PF,CHI,27,4,"$32,000,000","$32,000,000",100.00%,"$8,000,000",2021
TuckerP.J. Tucker (2017-2020) ,SF,HOU,34,4,"$31,878,148","$26,477,799",83.06%,"$7,969,537",2021
LambJeremy Lamb (2019-2021) ,SG,IND,27,3,"$31,500,000","$31,500,000",100.00%,"$10,500,000",2022
OsmanCedi Osman (2020-2023) ,SF,CLE,24,4,"$31,120,000","$24,400,909",78.41%,"$7,780,000",2024
LowryKyle Lowry (2020-2020) ,PG,TOR,33,1,"$30,500,000","$30,000,000",98.36%,"$30,500,000",2021
TatumJayson Tatum (2017-2020) ,SF,BOS,21,4,"$30,073,320","$30,073,320",100.00%,"$7,518,330",2021
RobersonAndre Roberson (2017-2019) ,SG,OKC,27,3,"$30,000,000","$30,000,000",100.00%,"$10,000,000",2020
Oubre Jr.Kelly Oubre Jr. (2019-2020) ,SF,PHX,23,2,"$30,000,000","$30,000,000",100.00%,"$15,000,000",2021
GreenDanny Green (2019-2020) ,SG,LAL,32,2,"$30,000,000","$30,000,000",100.00%,"$15,000,000",2021
SatoranskyTomas Satoransky (2019-2021) ,SG,CHISigned w/WAS,28,3,"$30,000,000","$25,000,000",83.33%,"$10,000,000",2022
AminuAl-Farouq Aminu (2019-2021) ,PF,ORL,29,3,"$29,162,700","$29,162,700",100.00%,"$9,720,900",2022
AugustinD.J. Augustin (2016-2019) ,PG,ORL,31,4,"$29,000,000","$29,000,000",100.00%,"$7,250,000",2020
PrinceTaurean Prince (2020-2021) ,SF,BKN,25,2,"$29,000,000","$29,000,000",100.00%,"$14,500,000",2022
HillGeorge Hill (2019-2021) ,PG,MIL,33,3,"$28,771,806","$20,000,000",69.51%,"$9,590,602",2022
WrightDelon Wright (2019-2021) ,PG,DALSigned w/MEM,27,3,"$28,050,000","$27,000,000",96.26%,"$9,350,000",2022
AytonDeandre Ayton (2018-2020) ,C,PHX,21,3,"$27,746,280","$27,746,280",100.00%,"$9,248,760",2022
GrantJerami Grant (2018-2020) ,SF,DENSigned w/OKC,25,3,"$27,346,153","$27,346,153",100.00%,"$9,115,384",2021
BaylessJerryd Bayless (2016-2018) ,PG,MINSigned w/PHI,31,3,"$27,000,000","$27,000,000",100.00%,"$9,000,000",2019
BogdanovicBogdan Bogdanovic (2017-2019) ,SG,SAC,27,3,"$27,000,000","$27,000,000",100.00%,"$9,000,000",2020
SimmonsBen Simmons (2016-2019) ,PG,PHI,23,4,"$26,620,450","$26,620,450",100.00%,"$6,655,113",0
RedickJ.J. Redick (2019-2020) ,SG,NOP,35,2,"$26,500,000","$26,500,000",100.00%,"$13,250,000",2021
JonesTyus Jones (2019-2021) ,PG,MEM,23,3,"$26,445,300","$23,895,300",90.36%,"$8,815,100",2022
WinslowJustise Winslow (2019-2020) ,SF,MIA,23,2,"$26,000,000","$26,000,000",100.00%,"$13,000,000",2022
MilesC.J. Miles (2017-2019) ,SF,WASSigned w/IND,32,3,"$25,000,000","$25,000,000",100.00%,"$8,333,333",2020
ArizaTrevor Ariza (2019-2020) ,SF,SAC,34,2,"$25,000,000","$14,000,000",56.00%,"$12,500,000",2021
BryantThomas Bryant (2019-2021) ,C,WAS,22,3,"$25,000,000","$25,000,000",100.00%,"$8,333,333",2022
WilliamsLouis Williams (2018-2020) ,SG,LAC,33,3,"$24,000,000","$24,000,000",100.00%,"$8,000,000",2021
IngramBrandon Ingram (2016-2019) ,SF,NOPSigned w/LAL,22,4,"$23,823,685","$23,823,685",100.00%,"$5,955,921",2020
IsaacJonathan Isaac (2017-2020) ,PF,ORL,22,4,"$22,324,406","$22,324,406",100.00%,"$5,581,102",2021
DoncicLuka Doncic (2018-2020) ,PG,DAL,20,3,"$22,293,360","$22,293,360",100.00%,"$7,431,120",2022
McDermottDoug McDermott (2018-2020) ,SF,IND,27,3,"$22,000,000","$22,000,000",100.00%,"$7,333,333",2021
BrownJaylen Brown (2016-2019) ,SG,BOS,23,4,"$21,404,269","$21,404,269",100.00%,"$5,351,067",0
IlyasovaErsan Ilyasova (2018-2020) ,PF,MIL,32,3,"$21,000,000","$14,000,000",66.67%,"$7,000,000",2021
GallowayLangston Galloway (2017-2019) ,SG,DET,27,3,"$21,000,000","$21,000,000",100.00%,"$7,000,000",2020
ZubacIvica Zubac (2019-2021) ,C,LAC,22,3,"$21,000,000","$21,000,000",100.00%,"$7,000,000",2023
CarrollDeMarre Carroll (2019-2021) ,SF,SASSigned w/BKN,33,3,"$20,650,000","$15,000,000",72.64%,"$6,883,333",2022
BjelicaNemanja Bjelica (2018-2020) ,PF,SAC,31,3,"$20,475,000","$13,325,000",65.08%,"$6,825,000",2021
MarkkanenLauri Markkanen (2017-2020) ,PF,CHI,22,4,"$20,389,668","$20,389,668",100.00%,"$5,097,417",2021
Jackson Jr.Jaren Jackson Jr. (2018-2020) ,PF,MEM,20,3,"$20,099,880","$20,099,880",100.00%,"$6,699,960",2022
WilliamsonZion Williamson (2019-2020) ,PF,NOP,19,2,"$20,002,920","$20,002,920",100.00%,"$10,001,460",2023
HilarioNene Hilario (2019-2020) ,C,HOU,37,2,"$20,000,000","$2,564,753",12.82%,"$10,000,000",2021
GibsonTaj Gibson (2019-2020) ,PF,NYK,34,2,"$20,000,000","$20,000,000",100.00%,"$10,000,000",2021
NtilikinaFrank Ntilikina (2017-2020) ,PG,NYK,21,4,"$18,689,218","$18,689,218",100.00%,"$4,672,305",2021
YoungTrae Young (2018-2020) ,PG,ATL,21,3,"$18,201,240","$18,201,240",100.00%,"$6,067,080",2022
JacksonJosh Jackson (2017-2019) ,SF,MEMSigned w/PHX,22,3,"$18,191,040","$18,191,040",100.00%,"$6,063,680",2020
VanVleetFred VanVleet (2018-2019) ,PG,TOR,25,2,"$18,000,000","$18,000,000",100.00%,"$9,000,000",2020
MorantJa Morant (2019-2020) ,PG,MEM,20,2,"$17,897,040","$17,897,040",100.00%,"$8,948,520",2023
DunnKris Dunn (2016-2019) ,PG,CHISigned w/MIN,25,4,"$17,488,287","$17,488,287",100.00%,"$4,372,072",2020
Smith Jr.Dennis Smith Jr. (2017-2020) ,PG,NYKSigned w/DAL,21,4,"$17,188,557","$17,188,557",100.00%,"$4,297,139",2021
Caldwell-PopeKentavious Caldwell-Pope (2019-2020) ,SG,LAL,26,2,"$16,583,028","$16,583,028",100.00%,"$8,291,514",2021
BambaMohamed Bamba (2018-2020) ,C,ORL,21,3,"$16,531,680","$16,531,680",100.00%,"$5,510,560",2021
FoxDe'Aaron Fox (2017-2019) ,PG,SAC,21,3,"$16,472,880","$16,472,880",100.00%,"$5,490,960",2021
CollinsZach Collins (2017-2020) ,C,POR,21,4,"$16,332,615","$16,332,615",100.00%,"$4,083,154",2021
BarrettR.J. Barrett (2019-2020) ,SF,NYK,19,2,"$16,071,720","$16,071,720",100.00%,"$8,035,860",2023
HarrisJoe Harris (2018-2019) ,SG,BKN,28,2,"$16,000,000","$16,000,000",100.00%,"$8,000,000",2020
EllingtonWayne Ellington (2019-2019) ,SG,NYK,32,2,"$16,000,000","$9,000,000",56.25%,"$8,000,000",2021
PaytonElfrid Payton (2019-2020) ,PG,NYK,25,2,"$16,000,000","$9,000,000",56.25%,"$8,000,000",2021
HieldBuddy Hield (2016-2019) ,SG,SACSigned w/NOP,25,4,"$15,887,648","$15,887,648",100.00%,"$3,971,912",0
Bagley IIIMarvin Bagley III (2018-2019) ,PF,SAC,20,2,"$15,861,720","$15,861,720",100.00%,"$7,930,860",2022
MonkMalik Monk (2017-2020) ,SG,CHA,21,4,"$15,726,047","$15,726,047",100.00%,"$3,931,512",2021
KennardLuke Kennard (2017-2020) ,SG,DET,23,4,"$15,135,546","$15,135,546",100.00%,"$3,783,887",2021
Carter Jr.Wendell Carter Jr. (2018-2020) ,PF,CHI,20,3,"$15,091,440","$15,091,440",100.00%,"$5,030,480",2022
McGruderRodney McGruder (2019-2021) ,SG,LAC,28,3,"$15,000,000","$10,000,000",66.67%,"$5,000,000",2022
MorrisMarcus Morris (2019-2019) ,PF,NYK,30,1,"$15,000,000","$15,000,000",100.00%,"$15,000,000",2020
RoseDerrick Rose (2019-2020) ,PG,DET,31,2,"$15,000,000","$15,000,000",100.00%,"$7,500,000",2021
PortisBobby Portis (2019-2019) ,PF,NYK,24,1,"$15,000,000","$15,000,000",100.00%,"$15,000,000",2021
MitchellDonovan Mitchell (2017-2020) ,SG,UTH,23,4,"$14,564,021","$14,564,021",100.00%,"$3,641,005",2021
MurrayJamal Murray (2016-2019) ,PG,DEN,22,4,"$14,510,706","$14,510,706",100.00%,"$3,627,677",0
BertansDavis Bertans (2018-2019) ,SF,WASSigned w/SAS,26,2,"$14,500,000","$14,000,000",96.55%,"$7,250,000",2020
HunterDe'Andre Hunter (2019-2020) ,SF,ATL,21,2,"$14,490,360","$14,490,360",100.00%,"$7,245,180",2023
LooneyKevon Looney (2019-2021) ,C,GSW,23,3,"$14,464,287","$14,464,287",100.00%,"$4,821,429",2022
MillerDarius Miller (2019-2020) ,SF,NOP,29,2,"$14,250,000","$7,250,000",50.88%,"$7,125,000",2021
InglesJoe Ingles (2021-2021) ,SF,UTH,32,1,"$14,000,000","$14,000,000",100.00%,"$14,000,000",2022
SextonCollin Sexton (2018-2020) ,PG,CLE,20,3,"$13,825,440","$13,825,440",100.00%,"$4,608,480",2022
GarlandDarius Garland (2019-2020) ,PG,CLE,19,2,"$13,121,640","$13,121,640",100.00%,"$6,560,820",2023
ParkerJabari Parker (2019-2020) ,PF,ATL,24,2,"$13,000,000","$13,000,000",100.00%,"$6,500,000",2021
KnoxKevin Knox (2018-2020) ,SF,NYK,20,3,"$12,708,720","$12,708,720",100.00%,"$4,236,240",2022
PoeltlJakob Poeltl (2016-2019) ,C,SASSigned w/TOR,24,4,"$12,231,806","$12,231,806",100.00%,"$3,057,952",2020
WilsonDJ Wilson (2017-2020) ,PF,MIL,23,4,"$12,178,720","$12,178,720",100.00%,"$3,044,680",2021
